Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775399117,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775399118,2,,Aggregated,0.000000,0.000000,22,22,22,22,22,22,22,22,22,22,22,2,0,10,15.722286999334756,9.622440999009996,21.822132999659516,2313.5
1775399119,4,,Aggregated,0.000000,0.000000,15,15,16,16,22,22,22,22,22,22,22,6,0,10,11.517392999849108,3.2693379998818273,21.822132999659516,2023.3333333333333
1775399120,6,,Aggregated,2.000000,0.000000,10,14,15,16,22,22,22,22,22,22,22,9,0,10,11.1699883329695,3.2693379998818273,21.822132999659516,2289.0
1775399121,8,,Aggregated,2.000000,0.000000,11,15,15,16,16,22,22,22,22,22,22,13,0,11,11.448379307554346,3.2693379998818273,21.822132999659516,3400.076923076923
1775399122,10,,Aggregated,3.000000,0.000000,11,14,15,15,16,22,22,22,22,22,22,17,0,11,10.96150958812145,3.2693379998818273,21.822132999659516,3293.8823529411766
1775399123,10,,Aggregated,3.250000,0.000000,11,14,15,15,16,22,22,22,22,22,22,18,0,10,10.774422722129707,3.2693379998818273,21.822132999659516,3312.8333333333335
1775399124,10,,Aggregated,3.250000,0.000000,10,12,14,15,16,16,22,22,22,22,22,21,0,10,10.04454757137518,3.2693379998818273,21.822132999659516,3231.095238095238
1775399125,10,,Aggregated,2.833333,0.000000,8,11,14,15,16,16,22,22,22,22,22,24,0,7,9.602695374875717,3.2693379998818273,21.822132999659516,3291.8333333333335
1775399126,10,,Aggregated,3.000000,0.000000,7,10,14,14,16,16,22,22,22,22,22,27,0,7,9.255186444298252,3.2693379998818273,21.822132999659516,3346.8888888888887
1775399127,10,,Aggregated,2.750000,0.000000,7,10,11,14,15,16,22,22,22,22,22,34,0,7,8.80297182351676,3.2693379998818273,21.822132999659516,3571.176470588235
1775399128,10,,Aggregated,2.750000,0.000000,7,10,11,14,15,16,22,22,22,22,22,35,0,7,8.743015999997235,3.2693379998818273,21.822132999659516,3577.6285714285714
1775399129,10,,Aggregated,3.200000,0.000000,7,8,11,12,15,16,22,22,22,22,22,39,0,7,8.561572410261038,3.2693379998818273,21.822132999659516,3415.102564102564
1775399130,10,,Aggregated,3.300000,0.000000,7,8,10,11,15,16,22,22,22,22,22,41,0,7,8.401353829268794,3.2693379998818273,21.822132999659516,3433.560975609756
1775399131,10,,Aggregated,3.100000,0.000000,7,7,10,11,15,16,22,22,22,22,22,45,0,7,8.227365355600746,3.2693379998818273,21.822132999659516,3393.133333333333
1775399132,10,,Aggregated,3.200000,0.000000,7,7,10,11,15,16,22,22,22,22,22,49,0,7,8.264586693963347,3.2693379998818273,21.822132999659516,3579.5510204081634
1775399133,10,,Aggregated,3.200000,0.000000,7,7,10,11,15,16,17,22,22,22,22,52,0,7,8.082266000096402,3.2693379998818273,21.822132999659516,3461.269230769231
1775399134,10,,Aggregated,3.100000,0.000000,7,7,8,11,15,16,17,22,22,22,22,55,0,7,7.982302600099832,3.2693379998818273,21.822132999659516,3421.690909090909
1775399135,10,,Aggregated,3.500000,0.000000,7,7,8,10,15,16,17,22,22,22,22,60,0,7,7.829500250106018,3.2693379998818273,21.822132999659516,3397.35
1775399136,10,,Aggregated,3.400000,0.000000,7,7,8,10,14,16,17,22,22,22,22,64,0,7,7.754718812549299,3.2693379998818273,21.822132999659516,3419.609375
1775399137,10,,Aggregated,3.400000,0.000000,7,7,8,10,14,16,17,22,22,22,22,65,0,7,7.752099907744336,3.2693379998818273,21.822132999659516,3379.276923076923
1775399138,10,,Aggregated,3.600000,0.000000,7,7,8,8,14,16,17,22,22,22,22,68,0,7,7.646233529452301,3.2693379998818273,21.822132999659516,3294.6911764705883
1775399139,10,,Aggregated,3.300000,0.000000,7,7,8,8,14,16,17,22,22,22,22,72,0,7,7.594711305576614,3.2693379998818273,21.822132999659516,3276.152777777778
1775399140,10,,Aggregated,3.200000,0.000000,7,7,8,8,14,16,17,22,22,22,22,77,0,7,7.589022688351816,3.2693379998818273,21.822132999659516,3265.961038961039
1775399141,10,,Aggregated,3.400000,0.000000,7,7,7,8,12,15,17,22,22,22,22,81,0,7,7.563617975370388,3.2693379998818273,21.822132999659516,3286.5555555555557
1775399142,10,,Aggregated,3.400000,0.000000,7,7,7,8,12,15,17,22,22,22,22,83,0,7,7.504801060305733,3.2693379998818273,21.822132999659516,3226.3493975903616
1775399143,10,,Aggregated,3.600000,0.000000,7,7,7,8,12,15,17,22,22,22,22,87,0,7,7.4435718621295575,3.2693379998818273,21.822132999659516,3213.8275862068967
