Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775399767,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775399768,2,,Aggregated,0.000000,0.000000,25,25,25,25,25,25,25,25,25,25,25,2,0,10.037567000836134,17.443984000237833,10.037567000836134,24.850400999639533,4075.5
1775399769,4,,Aggregated,0.000000,0.000000,13,13,25,25,25,25,25,25,25,25,25,4,0,10,14.175624000472453,8.798721000857768,24.850400999639533,2458.75
1775399770,6,,Aggregated,0.000000,0.000000,10,13,14,14,25,25,25,25,25,25,25,7,0,10,12.528128000537565,6.513407000966254,24.850400999639533,1767.0
1775399771,8,,Aggregated,2.000000,0.000000,11,13,14,14,14,25,25,25,25,25,25,11,0,11,11.987309363989466,6.513407000966254,24.850400999639533,3423.090909090909
1775399772,10,,Aggregated,2.000000,0.000000,11,13,14,14,16,25,25,25,25,25,25,16,0,11,11.575698875390117,4.665577000196208,24.850400999639533,3376.5
1775399773,10,,Aggregated,2.750000,0.000000,9,11,13,14,15,16,25,25,25,25,25,23,0,9,9.97124391339995,4.665577000196208,24.850400999639533,3275.0
1775399774,10,,Aggregated,2.750000,0.000000,9,11,13,14,15,16,25,25,25,25,25,24,0,7,9.828535708644873,4.665577000196208,24.850400999639533,3306.5416666666665
1775399775,10,,Aggregated,3.500000,0.000000,7,10,12,13,15,16,25,25,25,25,25,28,0,7,9.330524643116535,4.665577000196208,24.850400999639533,3299.6785714285716
1775399776,10,,Aggregated,3.500000,0.000000,7,10,11,13,15,16,25,25,25,25,25,30,0,7,9.114877700267243,4.665577000196208,24.850400999639533,3242.3333333333335
1775399777,10,,Aggregated,3.500000,0.000000,7,10,11,13,15,16,25,25,25,25,25,30,0,7,9.114877700267243,4.665577000196208,24.850400999639533,3242.3333333333335
1775399778,10,,Aggregated,3.333333,0.000000,7,10,11,12,14,16,25,25,25,25,25,37,0,7,9.042539865117146,4.665577000196208,24.850400999639533,3643.2972972972975
