Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775400433,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775400434,2,,Aggregated,0.000000,0.000000,29,29,29,29,29,29,29,29,29,29,29,2,0,11.428261999753886,20.028343499689072,11.428261999753886,28.628424999624258,4079.5
1775400435,4,,Aggregated,0.000000,0.000000,17,17,29,29,29,29,29,29,29,29,29,4,0,14,17.786081499707507,11.428261999753886,28.628424999624258,4079.5
1775400436,6,,Aggregated,0.000000,0.000000,17,17,19,19,29,29,29,29,29,29,29,6,0,16,17.552881166314666,11.428261999753886,28.628424999624258,4078.5
1775400437,8,,Aggregated,2.000000,0.000000,14,16,17,19,29,29,29,29,29,29,29,10,0,13,14.424199999848497,6.675456999801099,28.628424999624258,3675.3
1775400438,10,,Aggregated,2.000000,0.000000,12,14,16,17,19,29,29,29,29,29,29,14,0,11,12.475155642537825,3.5474799988151062,28.628424999624258,2981.5714285714284
1775400439,10,,Aggregated,2.500000,0.000000,11,13,16,16,19,29,29,29,29,29,29,16,0,11,11.658743812176908,3.5474799988151062,28.628424999624258,2916.5625
1775400440,10,,Aggregated,2.600000,0.000000,11,13,14,16,19,29,29,29,29,29,29,20,0,10,10.761781949713622,3.4700029991654446,28.628424999624258,3395.05
1775400441,10,,Aggregated,2.600000,0.000000,10,13,14,14,17,19,29,29,29,29,29,23,0,10,10.576112347537318,3.4700029991654446,28.628424999624258,3339.4347826086955
1775400442,10,,Aggregated,2.500000,0.000000,10,13,14,14,17,19,29,29,29,29,29,26,0,10,10.374546230545652,3.4700029991654446,28.628424999624258,3770.269230769231
1775400443,10,,Aggregated,2.875000,0.000000,7,12,13,14,17,19,29,29,29,29,29,29,0,7,9.98702644806301,3.4700029991654446,28.628424999624258,3690.551724137931
1775400444,10,,Aggregated,2.888889,0.000000,7,12,14,14,16,19,29,29,29,29,29,35,0,7,9.849551714173035,3.4700029991654446,28.628424999624258,4012.3142857142857
1775400445,10,,Aggregated,2.888889,0.000000,7,11,13,14,16,19,29,29,29,29,29,37,0,7,9.713989486438033,3.4700029991654446,28.628424999624258,4346.378378378378
1775400446,10,,Aggregated,2.700000,0.000000,7,11,13,14,16,19,29,29,29,29,29,39,0,7,9.567888282011458,3.4700029991654446,28.628424999624258,4331.4358974358975
1775400447,10,,Aggregated,3.100000,0.000000,7,11,14,14,16,17,29,29,29,29,29,42,0,7,9.77848359516862,3.4700029991654446,28.628424999624258,4604.071428571428
1775400448,10,,Aggregated,3.300000,0.000000,7,11,13,14,16,17,29,29,29,29,29,46,0,7,9.67568923905397,3.4700029991654446,28.628424999624258,4558.086956521739
1775400449,10,,Aggregated,3.300000,0.000000,7,10,13,14,16,17,19,29,29,29,29,51,0,7,9.42328847054787,3.4700029991654446,28.628424999624258,4446.568627450981
1775400450,10,,Aggregated,3.300000,0.000000,7,10,12,14,16,17,19,29,29,29,29,54,0,7,9.259897129561944,3.4700029991654446,28.628424999624258,4366.185185185185
1775400451,10,,Aggregated,3.600000,0.000000,7,9,12,13,16,17,19,29,29,29,29,56,0,7,9.105020660626906,3.3824570000433596,28.628424999624258,4283.982142857143
1775400452,10,,Aggregated,3.300000,0.000000,7,9,11,13,16,17,19,29,29,29,29,58,0,7,9.08089708615268,3.3824570000433596,28.628424999624258,4276.068965517241
1775400453,10,,Aggregated,3.300000,0.000000,7,9,11,13,15,17,19,29,29,29,29,62,0,7,8.889950903164479,3.3824570000433596,28.628424999624258,4210.258064516129
1775400454,10,,Aggregated,3.200000,0.000000,7,9,11,13,15,17,19,29,29,29,29,64,0,7,8.81470814059071,3.3824570000433596,28.628424999624258,4206.171875
1775400455,10,,Aggregated,3.100000,0.000000,7,8,11,12,15,17,19,29,29,29,29,68,0,7,8.75598714703622,3.3824570000433596,28.628424999624258,4151.088235294118
1775400456,10,,Aggregated,3.500000,0.000000,7,8,11,12,15,17,19,29,29,29,29,70,0,7,8.685432071407766,3.3824570000433596,28.628424999624258,4102.771428571428
1775400457,10,,Aggregated,3.100000,0.000000,7,8,10,11,14,17,19,29,29,29,29,75,0,7,8.52037805331444,3.3824570000433596,28.628424999624258,4013.72
