Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775443930,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775443931,5,,Aggregated,0.000000,0.000000,55,62,62,71,71,71,71,71,71,71,71,5,0,55,56.04474380015745,46.0866689991235,70.55113400019764,3286.0
1775443932,10,,Aggregated,0.000000,0.000000,62,99,100,100,100,110,110,110,110,110,110,11,0,62,69.92015127285744,18.328427000597003,107.30184400017606,2282.4545454545455
1775443933,15,,Aggregated,5.000000,0.000000,71,99,100,100,110,120,120,120,120,120,120,19,0,71,72.49836294747519,17.230936000487418,116.36258799990173,2432.684210526316
1775443934,20,,Aggregated,5.500000,0.000000,61,72,90,100,100,110,120,120,120,120,120,29,0,61,60.38020265522987,12.470998000935651,116.36258799990173,2638.862068965517
1775443935,25,,Aggregated,5.666667,0.000000,55,66,71,83,100,100,120,120,120,120,120,41,0,55,54.11782736589929,12.470998000935651,116.36258799990173,2765.317073170732
1775443936,30,,Aggregated,6.250000,0.000000,50,66,73,83,100,100,110,120,120,120,120,57,0,50,52.32436868426336,12.239684001542628,116.36258799990173,2778.2982456140353
1775443937,30,,Aggregated,7.400000,0.000000,46,65,72,82,100,100,110,120,120,120,120,61,0,46,49.98168614755011,12.239684001542628,116.36258799990173,2716.344262295082
1775443938,30,,Aggregated,8.166667,0.000000,36,60,68,73,100,100,110,120,120,120,120,72,0,33,45.17682854174786,12.239684001542628,116.36258799990173,2695.972222222222
1775443939,30,,Aggregated,8.142857,0.000000,28,55,66,72,100,100,110,120,120,120,120,78,0,24,42.808880602607154,12.239684001542628,116.36258799990173,2741.74358974359
1775443940,30,,Aggregated,8.125000,0.000000,22,45,61,66,90,100,110,120,120,120,120,96,0,21,38.556170354183905,12.239684001542628,116.36258799990173,2858.7395833333335
1775443941,30,,Aggregated,8.444444,0.000000,18,38,55,65,85,100,100,110,120,120,120,105,0,18,36.528149209473106,12.239684001542628,116.36258799990173,3084.057142857143
1775443942,30,,Aggregated,8.400000,0.000000,18,33,50,61,83,100,100,110,120,120,120,116,0,18,34.82129072406302,12.239684001542628,116.36258799990173,3081.4137931034484
1775443943,30,,Aggregated,9.500000,0.000000,18,28,46,60,82,100,100,110,120,120,120,124,0,18,34.02682416123254,9.062115999768139,116.36258799990173,3206.6612903225805
